Indonesia,Batak
Upaya tersebut memang cukup menguntungkan bagi sekolah,Angkal tersebut Laos Ris Manghalabahon Sagi Sikkola
Dari setiap Rp1 juta sekolah bisa menyimpan Rp15.000,Sian Be Rp1 Juta Sikkola Boi Mangaradoti Rp15.000
"Karena kekurangpahaman sekolah, pembayaran pajak yang dilakukan sekolah berbeda-beda","Alani kekurangpahaman Sikkola, Panggararan Balasting Na Dipadalan Sikkola Pinjil"
"Akibatnya, perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antar daerah","Hinorhonna, perlakuan Mangonai Tohap Ginjang Bunga Homitan tersebut Pinjil Taru Huta"
"Namun, tidak semua pelaksana BOS mengetahui tentang aturan ini karena tidak disosialisasikan dengan baik","Alai, Ndada Luhut pelaksana Tokke Umboto Olap Ruhut On Alani Ndada disosialisasikan Dohot Denggan"
Hal ini terjadi karena hampir semua sekolah belum mengetahui aturan dan tata cara pembayaran pajak,Bongka On Manjadi Alani Giot Luhut Sikkola Ndangdope Umboto Ruhut Dohot Tutur Sara Panggararan Balasting
Laporan yang dibuat sekolah dikirim ke satker kabupaten/kota,Boaboa Na Dibahen Sikkola Ditongos Tu satker Kabupaten/Kota
"Di samping itu, sekolah juga dapat menghemat waktu, tenaga, dan biaya transportasi penyetoran pajak","I Lambung Ido, Sikkola Musem Dohar Mangirit Tingki, Gogo, Dohot Ongkos transportasi penyetoran Balasting"
Hal-hal yang harus dilaporkan oleh pelaksana di tiap tingkatan adalah sebagai berikut,Bongka Na Ingkon Dialuhon Angkup pelaksana I tiap tingkatan Adongma Ansiatni Basa
"Di samping itu, banyak juga sekolah yang berupaya menghindari pembayaran pajak dengan menyiasati nilai atau kuitansi pembayaran","I Lambung Ido, Godang Musem Sikkola Na berupaya Pasidinghon Panggararan Balasting Dohot menyiasati Asam Manang Kuitansi Panggararan"
"Akhirnya, satker provinsi menyampaikan laporan ke Satker Pusat","Ujungna, satker provinsi Pasahathon Boaboa Tu Satker Pusok"
Namun bentuk laporan yang diperoleh dari lembaga penyalur bervariasi antarprovinsi,Alai Rumang Boaboa Na Didapot Sian Dalihan penyalur Marmansam antarprovinsi
"Laporan penanganan dan pengaduan masyarakat, serta laporan monitoring dan evaluasi akan didiskusikan di sub-bab 2.6","Boaboa penanganan Dohot Alualu Masarakat, Angkup Boaboa monitoring Dohot evaluasi Naeng didiskusikan I Turpuk Duapuluonom"
Subbab ini hanya membahas laporan penggunaan/pemanfaatan dana BOS,Subbab On Holan Manguhal Boaboa penggunaan/pemanfaatan Hepeng Tokke
"Selanjutnya, satker kabupaten/kota membuat laporan pelaksanaan program untuk diserahkan ke satker provinsi","Saudutna, satker Kabupaten/Kota Mambaen Boaboa pelaksanaan Ruhutruhut Di Disahaphon Tu satker provinsi"
"Berkaitan dengan laporan penggunaan dana BOS, sekolah menyerahkan laporan ke satker kabupaten/kota","Hombar Dohot Boaboa penggunaan Hepeng Tokke, Sikkola Mangalehon Boaboa Tu satker Kabupaten/Kota"
Satker kabupaten/kota seharusnya mengirimkan laporan-laporan ke satker provinsi,Satker Kabupaten/Kota Saingkondo Manongoshon Boaboa laporan Tu satker provinsi
"Alur pelaporan di daerah-daerah sampel kajian ini agak bervariasi, dan secara umum disajikan di Gambar 2.4","Alur pelaporan I Huta sampel kajian On Tar Marmansam, Dohot Sasara Boa Diparade I Gombar Duapuluopat"
Selanjutnya satker provinsi menyusun laporan pelaksanaan program untuk dikirimkan ke Satker Pusat,Saudutna satker provinsi Mangatak Boaboa pelaksanaan Ruhutruhut Di Ditongoshon Tu Satker Pusok
"Di Provinsi Banten, selain UPTD, kantor pos kecamatan juga dapat berfungsi sebagai perantara penyampaian laporan tersebut","I Provinsi Banten, Angkupni UPTD, Kantor Pos kecamatan Musem Dohar Marguna Ansiatni Pangulu penyampaian Boaboa tersebut"
"Kanwil Depag juga menyusun laporan untuk diserahkan ke Departemen Agama, dan salinannya diserahkan ke satker provinsi","Kanwil Depag Musem Mangatak Boaboa Di Disahaphon Tu Departemen Ugamo, Dohot salinannya Disahaphon Tu satker provinsi"
Dengan adanya contohcontoh tersebut diharapkan sekolah tidak mengalami kesulitan dalam menyusun laporan,Dohot Adongdo contohcontoh tersebut Diparsinta Sikkola Ndada Mandalani Hagogotan Bagas Mangatak Boaboa
"Untuk mempermudah sekolah membuat laporan, di dalam juklak tersedia contoh-contoh format laporan","Di Pamudahon Sikkola Mambaen Boaboa, I Bagas juklak Ture Tiruan format Boaboa"
"Laporan tersebut harus dilengkapi RAPBS, fotokopi rekening, laporan buku kas, serta bukti-bukti pengeluaran yang sah","Boaboa tersebut Ingkon dilengkapi RAPBS, fotokopi rekening, Boaboa Buku kas, Angkup Tanda Pangaluaran Na Ansi"
Pembayaran tunjangan guru tetap diubah menjadi pembelian ATK,Panggararan tunjangan Guru tetap Dipauba Jala pembelian ATK
"Oleh karena itu, di Jawa Timur misalnya, laporan dalam bentuk SPJ harus dibuat setiap bulan","Angkup Alani Ido, I Jaua Purba Umpamana, Boaboa Bagas Rumang SPJ Ingkon Dibahen Be Bulan"
"Di Jawa Timur, NTB, dan Banten, satker provinsi menetapkan bahwa sekolah harus membuat laporan triwulanan","I Jaua Purba, NTB, Dohot Banten, satker provinsi Manontuhon Ima Sikkola Ingkon Mambaen Boaboa triwulanan"
Beberapa sekolah mengambil inisiatif meminta satker kabupaten/kota untuk mengadakan pelatihan pembuatan laporan,Pigapiga Sikkola Mangalap Tahi Mangido satker Kabupaten/Kota Di Patupahon pelatihan pembuatan Boaboa
"Di daerah lain, satker kabupaten/kota menyatakan bahwa konsultasi dapat dilakukan kapan saja","I Huta Asing, satker Kabupaten/Kota Manghajongjonghon Ima Manungkun Dohar Dipadalan Sadihari Ondeng"
Kebijakan tentang waktu penyusunan laporan ini terkait dengan keterlambatan pengucuran dana di kedua provinsi tersebut,Habisukon Olap Tingki Panusunan Boaboa On Porot Dohot keterlambatan pengucuran Hepeng I Paduahon provinsi tersebut
"Selain itu, satker kota setempat juga menyediakan waktu konsultasi bagi sekolah antara pukul 12.00-17.00","Angkupni Ido, satker Kota setempat Musem Patupahon Tingki Manungkun Sagi Sikkola Holangholang Pukul 12.00-17.00"
"Di Jawa Timur, Dinas Pendidikan Kota Pasuruan mengadakan pelatihan pembuatan SPJ yang dilaksanakan selama tiga hari","I Jaua Purba, Dinas Parsiajaran Kota Pasuruan Patupahon pelatihan pembuatan SPJ Na Dihangoluhon Saleleng Tolu Ari"
"Untuk melakukan konsultasi penyusunan laporan tersebut sekolah harus mengeluarkan biaya, paling tidak untuk transportasi","Di Padalanhon Manungkun Panusunan Boaboa tersebut Sikkola Ingkon Mangosari Ongkos, Timbil Ndada Di transportasi"
Namun ada sekolah yang laporannya hanya dibuat oleh kepala sekolah tanpa melibatkan bendahara,Alai Isi Sikkola Na laporannya Holan Dibahen Angkup Ulu Sikkola Sopola melibatkan Sitioppuro
"Di samping itu, sekolah juga mengeluhkan banyaknya waktu yang diperlukan untuk menyusun laporan tersebut","I Lambung Ido, Sikkola Musem Moingoing Godangna Tingki Na Dihaporluhon Di Mangatak Boaboa tersebut"
"Salah satu salafiyah di Banten, misalnya, memerlukan biaya transportasi antara Rp50.000-Rp100.000 setiap melakukan konsultasi","Sala Sada salafiyah I Banten, Umpamana, Mamorluhon Ongkos transportasi Holangholang Rp50.000-Rp100.000 Be Padalanhon Manungkun"
"Untuk itu, mereka seringkali kehilangan waktu istirahat karena harus kerja lembur atau terpaksa menggunakan waktu mengajar","Di Ido, Nasida seringkali Hamagoan Tingki Maradi Alani Ingkon Karejo lembur Manang Tarabuk Mamangke Tingki Mangajar"
"Komite sekolah yang seharusnya menjadi mitra sekolah pun umumnya tidak dilibatkan dalam pembuatan laporan,","Komite Sikkola Na Saingkondo Jala mitra Sikkola Pe umumnya Ndada dilibatkan Bagas pembuatan Boaboa ,"
"Hanya ada beberapa komite sekolah yang dapat mengakses laporan tersebut, namun jumlahnya sangat terbatas","Holan Isi Pigapiga komite Sikkola Na Dohar mengakses Boaboa tersebut, Alai Lonsamna Sai Hapalang"
Mereka biasanya komite sekolah yang memang aktif berkunjung ke sekolah,Nasida Somalna komite Sikkola Na Laos aktif Mebat Tu Sikkola
"Bila ada guru yang dilibatkan, biasanya hanya guru yang bertugas menjadi bendahara BOS, sedangkan guru lainnya tidak dilibatkan","Nandigan Isi Guru Na dilibatkan, Somalna Holan Guru Na Marsiulaon Jala Sitioppuro Tokke, Gari Guru Habalian Ndada dilibatkan"
Mereka cenderung percaya bahwa sekolah menggunakan dananya dengan benar,Nasida Sundung Porsea Ima Sikkola Mamangke dananya Dohot Sintong
"Kepada orangtua siswa, umumnya pihak sekolah hanya menyampaikan informasi mengenai adanya Program BOS","Tu orangtua Anaksikkola, umumnya Dingkan Sikkola Holan Pasahathon informasi Mangonai Adongdo Ruhutruhut Tokke"
Masih jarang ditemui adanya sekolah yang melaporkan penggunaan dananya secara rinci kepada orangtua siswa,Nari Rio Dijumpangi Adongdo Sikkola Na Mangaluhon penggunaan dananya Sasara rinci Tu orangtua Anaksikkola
Monev internal dilakukan oleh jajaran pelaksana program sendiri,Monev internal Dipadalan Angkup Barisan pelaksana Ruhutruhut Sadasa
Orangtua siswa terkesan tidak peduli dengan urusan administrasi penggunaan dana,Orangtua Anaksikkola terkesan tidak peduli Dohot Ardoan administrasi penggunaan Hepeng
"Monitoring eksternal, dalam juklak program 2005, dianggap sebagai bagian dari pengawasan","Monitoring eksternal, Bagas juklak Ruhutruhut 2005, Pinahamat Ansiatni Jambar Sian Pangiringon"
"dewan pendidikan, LSM, BMPS, maupun organisasi masyarakat/kependidikan lainnya; 3","Deuan Parsiajaran, LSM, BMPS, Olope Dalihan Masarakat/kependidikan Habalian Tolu"
Tim SMERU hanya menemukan dua sekolah sampel yang menyampaikan laporan secara terbuka kepada orangtua siswa,Tim SMERU Holan Manjumpanghon Dua Sikkola sampel Na Pasahathon Boaboa Sasara Mungkap Tu orangtua Anaksikkola
"perguruan tinggi, DPR, BIN atau tim independen khusus yang ditunjuk pemerintah; 2","Parguruan Timbo, DPR, BIN Manang tim independen Sudung Na Tinodo Pamarenta Dua"
"Monev internal ini bertugas melakukan pemantauan dan supervisi, pembinaan, dan penyelesaian masalah","Monev internal On Marsiulaon Padalanhon Gopgopan Dohot supervisi, Panogunoguon, Dohot Pansidungi Hasuharan"
Belum semua daerah melaksanakan kegiatan monev internal secara khusus,Ndangdope Luhut Huta Mangulahon kegiatan monev internal Sasara Sudung
"Unit-unit pengaduan masyarakat yang terdapat di sekolah/madrasah, kabupaten/kota, provinsi dan pusat","Rambar unit Alualu Masarakat Na Tardapot I Sikkola/madrasah, Kabupaten/Kota, provinsi Dohot Pusok"
Kualitas pelaksanaan monev internal masih dipertanyakan dan lebih terkesan dilaksanakan sebagai formalitas,Habagakon pelaksanaan monev internal Nari dipertanyakan Dohot Lobi terkesan Dihangoluhon Ansiatni formalitas
Monitoring dilakukan melalui UPTD dan melibatkan pengawas,Monitoring Dipadalan Marhitehite UPTD Dohot melibatkan Paniroi
"Di Kabupaten Tapanuli Utara, kuesioner disebarkan ke semua sekolah melalui UPTD Pendidikan","I Kabupaten Tapanuli Utara, kuesioner Dipararat Tu Luhut Sikkola Marhitehite UPTD Parsiajaran"
"Monev internal masih kurang memadai, sedangkan monev eksternal dinilai oleh banyak pihak masih kurang efektif","Monev internal Nari Hurang memadai, Gari monev eksternal Dipunten Angkup Godang Dingkan Nari Hurang Tulbas"
Di Kota Pasuruan kegiatan monev agak lebih mendalam,I Kota Pasuruan kegiatan monev Tar Lobi Pandebagas
Meskipun di beberapa daerah kerja sama kegiatan monev antara staf dinas pendidikan dan Kandepag berjalan baik,Aganpe I Pigapiga Huta Karejo Sarupa kegiatan monev Holangholang staf Dinas Parsiajaran Dohot Kandepag Mardalan Denggan
"Karena berbagai faktor tersebut, secara umum kegiatan monev internal dianggap kurang memadai","Alani Marmansam faktor tersebut, Sasara Boa kegiatan monev internal Pinahamat Hurang memadai"
"Cukup banyak lembaga yang secara langsung mendatangi sekolah-sekolah tanpa sepengetahuan satker, tidak jelas laporannya","Ris Godang Dalihan Na Sasara Mamintor Mangumbol Sikkola sekolah Sopola Pamotoan satker, Ndada Patiar laporannya"
Hal ini melahirkan kecemburuan dan rumor tentang ketidaktransparanan jajaran Kandepag dalam pengelolaan dana monev,Bongka On Manubuhon Pangiburuon Dohot rumor Olap ketidaktransparanan Barisan Kandepag Bagas pengelolaan Hepeng monev
"Secara langsung BPKP melakukan audit dengan difasilitasi oleh satker provinsi, satker kabupaten/kota","Sasara Mamintor BPKP Padalanhon audit Dohot difasilitasi Angkup satker provinsi, satker Kabupaten/Kota"
hasil pengawasannya juga tidak diberitahukan atau dilaporkan ke satker di tingkat manapun juga,Omo pengawasannya Musem Ndada Dipabotohon Manang Dialuhon Tu satker I Tingkat manapun Musem
Isu ini umumnya bersumber dari masyarakat dan guru,Bortik On umumnya Marasal Sian Masarakat Dohot Guru
Hanya di Mapenda Kanwil Depag Provinsi Jawa Timur ada dokumen laporan pengaduan,Holan I Mapenda Kanwil Depag Provinsi Jaua Purba Isi Suratpartadingan Boaboa Alualu
"Secara umum, proses penyampaian dan penanganan pengaduan dapat dibedakan menjadi tiga kelompok, yaitu","Sasara Boa, Parkaro penyampaian Dohot penanganan Alualu Dohar Salin Jala Tolu Horong, Ima"
Di banyak sekolah juga tidak terlihat adanya kotak aduan,I Godang Sikkola Musem Ndada Tarbereng Adongdo Poti aduan
Siapakah yang berwenang untuk melakukan investigasi bila pengaduan tersebut terkait dengan kinerja pelaksana program,Isedo Na Marhuaso Di Padalanhon investigasi Nandigan Alualu tersebut Porot Dohot kinerja pelaksana Ruhutruhut
Namun berbagai fakta yang ditemukan di lapangan memperlihatkan kurang efisiennya sistem monitoring eksternal yang sudah berjalan,Alai Marmansam Tarida Na Haluluan I Adaran Paullophon Hurang efisiennya sistem monitoring eksternal Na Naung Mardalan
"Meski reaksinya cepat dan langsung, pengaduan dan proses penyelesaian semacam ini tidak didokumentasikan dengan baik","Nang reaksinya Hatop Dohot Mamintor, Alualu Dohot Parkaro Pansidungi Samansam On Ndada didokumentasikan Dohot Denggan"
Namun dalam kajian ini tidak ditemukan adanya catatan dan dokumentasi pengaduan yang pernah dikumpulkan sekolah-sekolah sampel,Alai Bagas kajian On Ndada Haluluan Adongdo catatan Dohot dokumentasi Alualu Na Hea Dipahimpu Sikkola sekolah sampel
"Melalui siaran pers, keberadaan unit ini diumumkan ke masyarakat, lengkap dengan nomor telepon yang dapat diakses","Marhitehite siaran pers, Haadongan Rambar On Diandarhon Tu Masarakat, Pungu Dohot Nomor Talipon Na Dohar diakses"
"Lembaga yang mempunyai kewenangan yang cukup kuat adalah unsur-unsur pengawasan, seperti Bawasda, Irjen dan DPRD","Dalihan Na Mampuna kewenangan Na Ris Jogi Adongma unsur-unsur Pangiringon, Tudos Bawasda, Irjen Dohot DPRD"
Lembaga yang berperanserta dalam monev eksternal tersebut terbilang paling aktif dan reaktif terhadap aduan yang diterima,Dalihan Na berperanserta Bagas monev eksternal tersebut terbilang Timbil aktif Dohot reaktif Maradophon aduan Na Dijangkon
"Kuat dugaan, minimnya respons instansi terkait tersebut akibat tidakjelasnya peran pengawasan eksternal","Jogi Panagaman, minimnya respons instansi Porot tersebut Horhon tidakjelasnya Dohoti Pangiringon eksternal"
Namun dalam kenyataannya mereka cenderung bekerja sendiri-sendiri,Alai Bagas Hanataanna Nasida Sundung Markarejo Sadasa
"Namun, hingga kini belum ada upaya tindak lanjut atas keluhan tersebut","Alai, Sondot Nuaeng Ndangdope Isi Angkal Lalus Udut Ginjang Arsak tersebut"
Instansi terkait tidak mempunyai kewajiban untuk menindaklanjuti aduan yang disampaikan LSM dan media lokal,Instansi Porot Ndada Mampuna Toktok Di menindaklanjuti aduan Na Pinasahat LSM Dohot media lokal
"Walaupun demikian, sistem yang belum terkoordinir dengan baik ini sangat tidak menjamin penanganan pengaduan secara memadai","Aganan Alai, sistem Na Ndangdope terkoordinir Dohot Denggan On Sai Ndada Manghangkung penanganan Alualu Sasara memadai"
Dinas pendidikan sebagai pimpinan satker cenderung mendominasi aktivitas pengelolaan Program BOS,Dinas Parsiajaran Ansiatni Hapala satker Sundung mendominasi aktivitas pengelolaan Ruhutruhut Tokke
Indikasi ini dapat dilihat dari banyaknya anggota masyarakat dan guru yang mengadukan masalah pengelolaan dana BOS kepada LSM,Indikasi On Dohar Ditatap Sian Godangna Ruas Masarakat Dohot Guru Na Mangaluhon Hasuharan pengelolaan Hepeng Tokke Tu LSM
"Selain kesulitan mengakses unit pengaduan formal, tingkat kepercayaan masyarakat terhadap unit internal cenderung minim","Angkupni Hagogotan mengakses Rambar Alualu Sintuhu, Tingkat Haporseaon Masarakat Maradophon Rambar internal Sundung Otik"
"Akibatnya, komite sekolah cuma menjadi stempel dari kepentingan pengelola sekolah","Hinorhonna, komite Sikkola Holan Jala stempel Sian Guna Batangan Sikkola"
"UPTD, khususnya di daerah kabupaten berperan di hampir semua tahapan program","UPTD, khususnya I Huta Kabupaten Mandohoti I Giot Luhut tahapan Ruhutruhut"
Di beberapa daerah juga ditemukan adanya personel yang dinilai tidak kompeten,I Pigapiga Huta Musem Haluluan Adongdo personel Na Dipunten Ndada kompeten
